CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
14.0,"svmem(total=16447451136, available=12319645696, percent=25.1, used=3220492288, free=7978414080, active=4211273728, inactive=2517323776, buffers=373403648, cached=4875141120, shared=556527616, slab=899260416)","sdiskusage(total=572514893824, used=514527494144, free=31983910912, percent=94.1)",6.831,2025-01-22 11:17:39.262299
57.4,"svmem(total=16447451136, available=11430363136, percent=30.5, used=4079403008, free=7088214016, active=4765356032, inactive=2517524480, buffers=373424128, cached=4906409984, shared=586899456, slab=906448896)","sdiskusage(total=572514893824, used=514527518720, free=31983886336, percent=94.1)",29.459,2025-01-22 11:17:43.400029
57.5,"svmem(total=16447451136, available=11452784640, percent=30.4, used=4054638592, free=7110131712, active=4807176192, inactive=2517553152, buffers=373424128, cached=4909256704, shared=589242368, slab=907423744)","sdiskusage(total=572514893824, used=514527531008, free=31983874048, percent=94.1)",29.914,2025-01-22 11:17:47.452116
57.0,"svmem(total=16447451136, available=11498762240, percent=30.1, used=4016136192, free=7156088832, active=4783288320, inactive=2517569536, buffers=373432320, cached=4901793792, shared=581767168, slab=907366400)","sdiskusage(total=572514893824, used=514527539200, free=31983865856, percent=94.1)",27.553,2025-01-22 11:17:51.507834
59.9,"svmem(total=16447451136, available=11624742912, percent=29.3, used=3889012736, free=7282065408, active=4774756352, inactive=2517590016, buffers=373444608, cached=4902928384, shared=582909952, slab=907276288)","sdiskusage(total=572514893824, used=514527547392, free=31983857664, percent=94.1)",22.843,2025-01-22 11:17:55.600535
56.9,"svmem(total=16447451136, available=11400138752, percent=30.7, used=4039925760, free=7036321792, active=4899799040, inactive=2535317504, buffers=373846016, cached=4997357568, shared=656601088, slab=912199680)","sdiskusage(total=572514893824, used=514527592448, free=31983812608, percent=94.1)",19.164,2025-01-22 11:17:59.676602
64.0,"svmem(total=16447451136, available=11363139584, percent=30.9, used=4083142656, free=6912647168, active=5052162048, inactive=2538729472, buffers=374128640, cached=5077532672, shared=650104832, slab=915410944)","sdiskusage(total=572514893824, used=514527657984, free=31983747072, percent=94.1)",23.226,2025-01-22 11:18:03.739079
61.5,"svmem(total=16447451136, available=10898300928, percent=33.7, used=4401569792, free=6224093184, active=5450149888, inactive=2625761280, buffers=374382592, cached=5447405568, shared=796758016, slab=926978048)","sdiskusage(total=572514893824, used=514568077312, free=31943327744, percent=94.2)",24.365,2025-01-22 11:18:07.782499
48.6,"svmem(total=16447451136, available=10986696704, percent=33.2, used=4384698368, free=6306938880, active=5399506944, inactive=2627719168, buffers=374489088, cached=5381324800, shared=725270528, slab=927354880)","sdiskusage(total=572514893824, used=514568110080, free=31943294976, percent=94.2)",21.752,2025-01-22 11:18:11.835609
71.7,"svmem(total=16447451136, available=10778083328, percent=34.5, used=4626898944, free=6069436416, active=5575593984, inactive=2654814208, buffers=374538240, cached=5376577536, shared=691666944, slab=930877440)","sdiskusage(total=572514893824, used=514575466496, free=31935938560, percent=94.2)",24.497,2025-01-22 11:18:15.914398
