Indice,Numero de clusters,sp,sr,D.V.Index,evaluacion,defecto
0,232,11.635207227111774,8.110790178322022,256124.33578145065,4168.224476447436,Pitted
1,201,19.090459783758174,4.124809586971989,153029.68826488755,3461.913860464128,Crazing
2,200,3.399702835609993,30.18778561454415,219374.76091300088,3548.6076055048725,Crazing
3,184,1.4405686128070092,36.88723065388381,119809.39128735596,3104.1501910295106,Crazing
4,209,4.420859532289994,42.75802102555221,527771.426274878,3972.996727315616,Pitted
5,244,3.050055136681401,8.400523867567092,297938.2861024928,4437.055576305119,Inclusion
6,192,48.67704554313454,12.380849802714785,352266.6596529227,3537.8512150225665,Crazing
7,216,3.4906656310044295,5.694653495571138,20600.50637293028,3095.3647108178247,Inclusion
8,220,1.2858545601164306,12.535785837145793,87644.55274572379,3612.262897634968,Pitted
9,168,2.3373893965659986,59.77936602414285,299722.1040291667,3056.4686810582093,Rolled
10,228,28.361478377500422,8.450600534845773,340929.1565440276,4190.437640803932,Pitted
11,159,1.600606887013161,38.94293631260716,395662.34852999967,2956.4317311079667,Scratches
12,202,12.293470084740491,10.61901123390776,119315.79624388565,3406.613956821742,Pitted
13,210,56.106265101562364,2.970004011809884,111852.32553506893,3521.9595025420454,Inclusion
14,207,38.64984132442504,6.744252969654011,104650.56481172852,3451.7706584972952,Pitted
15,178,9.935493733703769,14.246675005160007,244804.03609315027,3186.4256716804825,Scratches
16,202,10.623015029063248,6.900627647997133,498298.9819903114,3823.18372441798,Scratches
17,221,2.6344547973036585,51.139358369428116,107191.28968087987,3692.8720216368824,Patches
18,218,31.180561035113396,8.611575368906259,115451.18220779652,3666.0893057055973,Patches
19,217,11.650685191851077,4.838144401389215,67679.29711722393,3482.0746514023513,Pitted
20,190,10.87149357600892,14.024170523914485,294400.44558833406,3451.809862589289,Scratches
21,186,5.507757898057754,22.976651825328773,123069.11407361878,3145.0943143727263,Crazing
22,226,12.352933350363012,3.7473326794857753,49494.94874865175,3524.4685709385117,Pitted
23,190,12.576188109999844,14.694544272493886,99358.28921903948,3154.067015387122,Rolled
24,196,31.075735174016344,13.354310321474578,304369.4564672263,3570.230956900811,Inclusion
25,198,7.159011664681907,3.0845107418596815,173427.0344926999,3445.9859181411784,Crazing
26,200,24.27166284216019,35.716147896582356,133935.52655259016,3406.2358324761954,Pitted
27,212,6.525514606726605,17.38299652011372,129528.75785254789,3600.3775377048287,Crazing
28,190,1.1884462011696035,42.96672390385493,139560.0964619801,3247.200125108003,Crazing
29,219,18.511341512306103,8.18172785063116,98215.42431650637,3631.8219760354345,Patches
30,238,13.612548862141951,6.420235861572948,60822.943555807986,3782.3740681728195,Pitted
31,189,3.5489855653574423,19.04608551057745,62442.53714538269,3010.8156505277652,Inclusion
32,209,3.949243477349774,30.084064656159303,117790.73557184132,3520.786108493189,Crazing
33,216,1.1302259423773955,58.0501048681977,157356.25516195173,3728.953800786331,Scratches
34,196,4.183977438319028,25.497267056064178,88390.29608571382,3220.5936728765605,Rolled
35,230,28.02651311658427,7.182240263161745,206703.10594264875,4061.156124533669,Pitted
36,170,15.975611392530887,2.614901604919697,160375.80543982596,2939.486487497107,Inclusion
37,231,4.274991141382696,12.28570092586568,145280.33671423316,3961.2988628821045,Pitted
38,156,3.2206085815944085,56.62634863162644,342416.6043279497,2868.1213292875264,Scratches
39,208,10.014178774263979,4.075056589892731,80694.17499809868,3390.436798155489,Crazing
40,164,1.1943591611112911,33.60488586957353,141805.98417119574,2806.6236578958833,Scratches
41,251,1.016751957174563,29.063030532463934,436747.4415392536,4702.84637130509,Patches
42,163,1.1021232796535225,33.25778919605529,160115.99185876097,2818.067534623189,Scratches
43,203,1.159846092689774,42.15869579107937,129083.11548048301,3446.5219779145573,Rolled
44,202,1.4419129397197858,24.12765263409773,203497.00161923634,3562.19889842796,Rolled
45,200,18.02869692657338,5.705593146485084,444841.3918764796,3752.586301904595,Inclusion
46,183,3.2204139399816474,17.059340863503262,55681.80777633471,2884.980072747191,Rolled
47,193,10.608617893051237,7.911772662522608,217082.45820284777,3421.4815396524673,Rolled
48,196,1.8445845761879198,41.39190735293586,162572.72314845983,3392.9022358730863,Rolled
49,216,54.65472335425803,7.607376341373874,310689.3570735698,3940.9444719371777,Patches
50,201,6.6692368951833565,11.428330049308045,50716.69701171621,3141.6648073244514,Rolled
51,240,4.1308594042846645,40.233097300865246,144605.9636763151,4114.024206229687,Scratches
52,209,12.430430977567324,27.878892673880635,84161.67844393828,3419.4230539591326,Inclusion
53,217,31.373347694545885,12.309341459025555,165109.99842010686,3761.2757476109077,Inclusion
54,150,6.378342340377233,21.230808372544622,417563.67525221565,2800.745503306268,Rolled
55,213,21.440577049637014,7.178570939510738,39400.47980719216,3251.642148123446,Inclusion
56,206,27.362165801115857,6.2876034255837014,159502.8710184207,3560.343910575342,Crazing
57,217,20.984899270824023,14.074068589150045,269508.908839242,3914.674235975945,Patches
58,245,5.3201918038310705,10.843155262573786,136966.2034379952,4180.547804110385,Pitted
59,204,2.3011649968407912,34.03636601844593,159536.82188461258,3525.8401032687493,Crazing
60,236,5.130841189442151,22.914819377283198,168191.8076220882,4096.900506799562,Scratches
61,191,2.30083536109745,17.39133095839982,65585.08150667751,3056.206292427066,Crazing
62,236,8.414055241328843,24.094456992048187,140467.25768320088,4035.570348494762,Patches
63,219,54.92300778435742,14.025459726279129,57470.93718372804,3462.5093451607772,Pitted
64,224,3.431082490789786,27.041530612180317,404444.5889267208,4172.130487546318,Inclusion
65,213,2.6496346092631047,30.137030186763088,232618.27385134192,3797.2798457983413,Pitted
66,220,1.0892488157012519,35.89603460973663,101811.47774967321,3659.8189512957847,Rolled
67,200,5.640448622031567,19.22337967821836,134261.99432100335,3406.9382903685655,Crazing
68,212,6.598247009564808,5.132362845246767,445248.3028515032,3978.0211243736053,Crazing
69,199,9.021819456973557,21.751707791941996,238493.36975163742,3554.854337066566,Rolled
70,201,17.042397988553393,7.899782030286367,374856.9337785319,3721.7120930728183,Crazing
71,194,18.80965789897796,14.006667166105485,181474.33695366074,3389.0647677891216,Pitted
72,170,5.049760449600588,25.477457756991633,195074.57334364273,2987.5232572400687,Crazing
73,205,1.2136209865788872,25.263433267303725,54599.74183076609,3226.004334360656,Crazing
74,218,9.552903408814696,17.28929056466509,331977.05778923765,3998.2778359119425,Inclusion
75,214,1.6328874808276197,59.89003252512997,84799.16076934327,3503.5571464329128,Patches
76,197,37.6102789863184,10.925065075099697,681254.6201286333,3817.433412911633,Pitted
77,185,24.000244336523735,7.802797674589954,137109.67341906187,3157.0196044322743,Rolled
78,203,9.129511971460047,18.51849018938124,100137.20793252409,3372.158577770301,Rolled
79,188,1.226183582970771,3.972541494012699,107986.81549142601,3143.45318288043,Rolled
80,232,2.0997204535495335,57.936594777143355,135687.6138550868,3955.583645354649,Patches
81,200,1.2026364869105395,5.649489616373463,447360.57731079013,3754.2157204072078,Crazing
82,212,59.5181476365603,9.718918139696473,115655.47936775172,3565.7285075189293,Pitted
83,157,1.5607437431131257,39.70739252712694,173741.25726268094,2732.8331945558302,Rolled
84,211,7.02867893972641,40.787745545215174,580594.6750484789,4040.053252905132,Scratches
85,192,3.048645267963325,28.17283006058629,327779.4149489371,3517.8942198245877,Rolled
86,167,1.2453721103792181,53.574747470656646,168072.7030242018,2898.9072265460954,Scratches
87,164,12.816377102872076,37.14456516932721,1636839.1640456032,3385.3669067572887,Crazing
88,226,13.299279378198692,4.992651512096063,249352.4893918188,4051.6889202041057,Pitted
89,189,29.900740123328994,20.58565660137111,108214.05716075237,3160.746866451542,Pitted
90,248,1.9194516127414838,40.15128663040463,151525.61919321204,4267.8821486786655,Scratches
91,158,1.4555504037011355,34.25384211069417,215311.52715379302,2799.138433326459,Scratches
92,199,2.5406638833070585,16.037654868770044,83953.15911958493,3255.102101745929,Pitted
93,181,3.4220132476783527,25.240359597373896,393950.6311690832,3364.3656130635654,Rolled
94,183,7.700673426286417,38.33995195257221,182981.45541170295,3199.0848389578905,Pitted
95,235,4.535549695480427,34.21290054120806,256689.84002130257,4222.871667101135,Patches
96,214,9.733346787065756,46.38812753422728,213472.04062452173,3788.5891465108075,Patches
97,203,12.605996098122787,35.75630585641891,334900.2068643765,3725.734463548747,Inclusion
98,228,2.638304260221112,43.74513784230279,320464.56020521594,4170.0756070713305,Patches
99,204,17.714490054844024,11.30103759042833,86367.18861341417,3345.231924424732,Crazing
100,226,6.890528005530639,11.13643507701018,419865.3462281005,4221.582185855436,Inclusion
101,203,5.48893089313194,10.383201525995462,41406.30978606124,3113.5252914545,Rolled
102,218,1.0373301472433045,30.10661471702541,205312.51677646572,3847.14672859104,Crazing
103,221,1.1317880436894314,44.10151447180892,79159.87079582497,3596.218441816839,Scratches
104,229,9.472736770151972,9.83953565329665,59697.204657923656,3633.1710485662384,Inclusion
105,204,34.54200525149903,10.932308056136439,314011.52475883433,3725.133428714668,Crazing
106,241,2.7547103353840523,24.27232594856606,140449.03445905756,4121.024610592336,Patches
107,206,13.260928681253626,31.435876342471776,150421.1859864093,3542.9215397731336,Pitted
108,222,11.921209707325952,17.71686088622013,83182.88741536713,3628.3678099080203,Patches
109,188,14.761324675695196,18.530323924026593,261597.4797453025,3383.4339538606755,Rolled
110,175,11.03760451320164,22.371868998397037,191783.80175077144,3071.0962359859254,Rolled
111,211,1.0858096771632586,56.51162830429879,140863.03530001888,3608.929978972708,Scratches
112,215,9.067157646123832,8.763643566675919,169076.91978861118,3733.973845023538,Rolled
113,213,1.1995875324496093,58.67510127173948,229831.66897172882,3793.5764506125724,Scratches
114,180,25.27023285271979,7.245808159973136,79036.52794739728,2928.6417511212803,Inclusion
115,223,5.127497195945076,31.52069878681393,150487.65334193915,3835.440689097735,Scratches
116,208,1.149351256482504,30.23587904649927,100849.0393043423,3457.342265567819,Inclusion
117,192,4.748634735970214,53.48819752170799,182271.84627382588,3355.3405851288885,Scratches
118,207,24.064611381543816,18.124788757449068,153903.66990176874,3566.955298401728,Inclusion
119,236,3.3771043561532186,25.910748038400104,134545.92269086474,4020.906438534069,Pitted
120,214,10.272787442867882,8.855993674876759,215166.09803679376,3791.029528906637,Inclusion
121,141,25.13174695106398,2.3478549792813572,103524.07968962945,2349.0045661183603,Scratches
122,183,2.5149663928978985,17.16716052371674,1548225.1077788323,3762.879639068718,Scratches
123,223,19.181689057479907,3.350809435877179,110747.55529864773,3736.7921178628076,Pitted
124,226,9.45511411430863,31.727455912670372,325156.0149012766,4138.234604474007,Pitted
125,215,1.950551440812594,26.805197060311613,726700.272573778,4186.265198206608,Rolled
126,195,7.8094221509302795,23.025406295039087,201679.79541070378,3436.232871676566,Crazing
127,189,9.323483791335784,19.876042621651578,115831.46538865115,3179.2951927032077,Crazing
128,232,3.676188314888874,32.83409919358308,578557.0071795434,4440.9671059001985,Patches
129,215,4.648470924785731,16.118386229754364,91057.88884406764,3542.016724010388,Rolled
130,221,2.7954633987883035,17.911116263895636,80173.04838702883,3600.2733658724387,Rolled
131,216,3.1675202242584493,20.04677662823692,184613.7781488054,3778.7365518634474,Crazing
132,234,10.948833025020821,8.880610051397973,266199.17554354103,4217.182299126377,Pitted
133,222,3.8971499438445436,10.2245081017037,71263.41414982615,3578.8340241303713,Rolled
134,219,6.021494434347252,18.13836819591953,56248.64989383609,3455.7172557250724,Patches
135,209,4.333227877060746,20.142119259329945,227492.17312923627,3719.250593394557,Rolled
136,214,38.440506227485706,29.48272174160349,220093.86668882504,3798.0205152243334,Pitted
137,169,14.59837225591398,6.379546029639293,107492.39045787924,2824.6448762494783,Scratches
138,204,34.536189659844545,14.835416592097214,116744.6816484241,3433.9314498748026,Crazing
139,227,2.161580725524064,37.2696664461668,86074.60879537693,3721.2791223335234,Inclusion
140,217,1.4163385496233865,33.668118626788626,309427.597238726,3957.915589536583,Crazing
141,221,1.9144343472186602,34.07878537456824,188232.47474544623,3872.396481405928,Scratches
142,235,2.5293600286345863,49.142961199106004,228273.53307076622,4183.0949569132235,Scratches
143,239,2.499359978537064,7.832956568138788,308488.34064894804,4358.130688687452,Inclusion
144,207,22.042140542101198,7.844419325074484,222903.95363538427,3677.574974814942,Patches
145,183,10.416343128476573,18.075325487676423,153823.40405823733,3153.257536292798,Rolled
146,169,3.002808656925189,43.511774645992375,279223.708407624,3057.389464134253,Scratches
147,159,1.3900417905278815,39.62611049828178,431931.87464665785,2976.5506372401896,Scratches
148,220,3.2877057452187426,13.28923876177326,177953.44131980912,3837.050867506182,Crazing
149,232,2.128148146369006,29.695768678128232,47673.567891251674,3605.4892594383427,Pitted
150,208,4.925220360855146,20.824165620700228,161337.37341783862,3598.3419988901583,Rolled
151,199,45.35009898207973,14.980980157931608,123706.0723834179,3366.3948020724947,Patches
152,230,9.826552567075053,44.72334369948822,566098.1656617302,4395.45932636192,Patches
153,210,4.405816324912491,30.926475726238415,170736.50010719348,3650.096516978486,Inclusion
154,181,33.71985285175748,9.051012614636278,59071.704624552825,2868.8825119033245,Crazing
155,178,2.298797074290912,49.67867001633781,37517.53748850018,2704.759398093333,Scratches
156,198,3.4982341133389045,23.54184162625371,114433.66997207343,3327.222110871626,Rolled
157,215,9.347151723547213,12.133200719269414,245956.96340389125,3850.2299706030117,Scratches
158,245,1.4458767032847852,38.5777882981429,51427.57796004126,3834.312374423783,Patches
159,219,34.85953293427562,16.290710464729752,153261.16745731703,3772.4135558101757,Patches
160,205,11.507839572483824,33.08772008518933,176826.86883135393,3573.555486564532,Scratches
161,192,8.22430352223234,7.379945860811389,155180.659661064,3310.76913378648,Crazing
162,213,3.281174675500873,16.450594907753572,54174.995076991516,3349.497312811442,Inclusion
163,247,2.9465748064695694,59.22530930165981,244199.70175168832,4420.732372451009,Scratches
164,198,1.6904429626829045,35.7607947922369,307570.2724609746,3609.650195693776,Rolled
165,231,7.330842253322702,38.33925790259338,188954.9611176497,4048.894743499696,Scratches
166,245,1.5823101714498682,41.66707885299469,107584.7851097611,4095.2030616808725,Scratches
167,233,6.808002527969476,24.643627705383423,820035.8065001281,4577.361279582542,Pitted
168,195,14.942085688148243,23.034458099913763,60703.63978335172,3098.451603478686,Pitted
169,234,18.114576162065987,20.990313487147695,143443.4501171442,4008.4486809185214,Patches
170,139,2.603873150335273,20.483557715247446,62493.96169478876,2214.4686559731445,Scratches
171,205,26.79097286546328,30.932771369240413,654696.788692866,3960.695812268334,Pitted
172,243,4.274251056014833,12.99902671975256,323439.529577441,4447.662165818771,Pitted
173,243,17.15318802076728,5.569219315873742,288377.45134960953,4407.436517393868,Pitted
174,193,15.953201767453898,36.597850299021765,443975.9235528486,3620.703529976088,Patches
175,214,1.0781623984049946,21.851404800541182,97043.16101231668,3545.1965297481806,Crazing
176,190,2.3927904668488305,40.64432902006439,418030.54199802113,3547.9172769899797,Scratches
177,214,22.72474037139079,15.437464130664418,204649.63696555002,3775.558468543252,Pitted
178,203,14.866717039863284,24.07865326712764,216823.39519261132,3598.410663913554,Pitted
179,219,22.221243397725686,4.413568650905859,271317.3715214974,3952.8671951874667,Patches
180,229,4.420097780047361,27.111908941433438,69557.66529668156,3683.676112567649,Pitted
181,214,54.10194462279592,8.917101925538763,286409.2926176498,3879.3318181458003,Crazing
182,203,2.3207252018279143,20.578255444683215,124024.93978189971,3434.814958432117,Pitted
183,187,39.0820004316346,4.393197798472121,167827.08414563123,3245.6871981599693,Rolled
184,171,12.557082045637006,12.596806734057491,539588.5023603756,3256.0965139997325,Crazing
185,176,1.0576600198077037,54.142731429880996,128474.84042775164,2986.918234903821,Patches
186,178,7.25835828494159,26.18237053657719,471309.16787475103,3354.6439310303285,Rolled
187,214,52.57130288956977,12.204038887767227,206510.3189210723,3778.352830164368,Inclusion
188,217,23.36085177714131,13.49467506348013,618473.3212252518,4174.7223488818645,Scratches
189,208,22.406805622271115,6.110420346278746,306510.78055029793,3790.920284630873,Inclusion
190,167,1.0122244189107132,13.945882449558066,71055.85459985085,2691.4832059367095,Rolled
191,195,41.70641513281785,5.618405788270335,113930.35919247757,3275.569578412694,Crazing
192,238,8.167099027699654,18.942689252845554,130007.13328301671,4043.1990394579516,Patches
193,196,1.2382995087344468,40.05317817951264,368107.1945965357,3623.9942186491467,Crazing
194,162,1.2203967259930377,43.51940030607502,142412.81121479807,2773.3945442541694,Scratches
195,224,16.136683354162592,6.055957721105134,149804.09914052577,3851.1687369632473,Patches
196,205,2.639800347387969,29.800215828582385,327462.4227993245,3755.7988166707564,Crazing
197,190,2.1119850660816124,21.470188517744933,353205.47285008535,3501.7281526563183,Rolled
198,204,47.117329514835035,38.11840083255302,274678.2958929628,3685.7462121101385,Patches
199,208,7.375004815661782,30.41287473245753,120334.20541652704,3510.35095139689,Inclusion
200,190,10.722871271460248,50.78104462942626,131848.97642603546,3231.6201006847004,Pitted
201,164,6.35555894461079,33.28955861753161,282442.943991442,2969.646389185198,Rolled
202,161,51.35658963037238,5.32045818246956,104245.3928171659,2683.8094799083833,Pitted
203,247,8.084444852487994,7.5333868529334485,1324403.3477131093,5023.217049578567,Pitted
204,218,2.2178134025159393,57.56088849598605,128853.70789350665,3700.6316469329363,Scratches
205,201,4.004754283696293,22.251285067189286,207679.4929475805,3550.4638473466207,Crazing
206,213,1.4950526863538598,58.42770022187263,154278.80392190305,3671.0934125840154,Inclusion
207,194,15.513596322564402,10.247073508791242,371310.11331940413,3589.4394264199714,Rolled
208,200,8.416936270236533,7.898224346367748,223699.5297911102,3554.2405396681133,Crazing
209,225,3.1771495464404884,12.572434656068381,121004.75944988632,3799.058460348435,Patches
210,213,6.439969729771761,19.631051429291755,301749.20035155077,3877.236959932399,Inclusion
211,223,1.6219780723198265,18.507012734225217,109733.67664592128,3733.8332415502796,Inclusion
212,94,49.24218272062386,13.085990020101502,133856.840106248,1600.8511457014847,Scratches
213,207,2.258405588298305,41.26231181689734,1621027.9607813612,4270.094851845505,Pitted
214,239,1.2622076337217,50.459826332094664,165293.0983657384,4142.985403955289,Patches
215,227,22.919851750678706,8.958178440769519,307845.8239313545,4138.629603213921,Pitted
216,214,26.146242492732625,8.980258157239687,102224.00878334514,3561.2541533264675,Pitted
217,241,3.1553606805041343,30.697320197249013,511958.2087288585,4570.725631784396,Patches
218,238,1.0123538536886756,25.7764246542746,268047.2202084376,4291.64638024868,Pitted
219,177,17.01224397815409,9.9703909121869,149110.22023258664,3041.925472717943,Rolled
220,226,6.11653219186873,54.57239698221175,270.82912832749287,1826.3600371360408,Inclusion
221,230,8.644249798281837,6.101616809983515,328236.23111007636,4214.606242753217,Inclusion
222,237,4.131152690566277,3.4194276146909752,212371.4000262362,4194.006502055876,Inclusion
223,213,21.158843399017073,7.699554702751469,301133.8968001094,3876.6097100294755,Pitted
224,230,2.2655135618320217,44.70603990439599,787776.9474810422,4505.108365200277,Inclusion
225,204,2.918662633275897,40.26587348852694,1548786.3252741317,4194.792164575032,Inclusion
226,172,26.25645023047912,9.986486960582065,510850.5726333614,3261.5571945730717,Rolled
227,183,3.941751041977229,19.58077982529602,234198.73667215998,3264.2393995497036,Scratches
228,217,1.3905797520264729,41.09560883143132,154717.78060324202,3740.9236470146525,Crazing
229,200,4.936390321583097,11.4784861464858,190566.96628386033,3507.987706450674,Scratches
230,204,5.600919981064122,23.744640757251442,256990.69254206005,3666.1567432522197,Scratches
231,201,2.307656228674843,57.93280693024562,119999.29349391235,3391.405943647377,Scratches
232,199,51.67350310952665,10.423365558774044,255029.84958487411,3574.1010113051475,Pitted
233,200,1.0491416364443964,37.30610236550891,94107.2764391313,3304.4037313971357,Rolled
234,173,23.65764589834318,15.12510796710239,449625.203235756,3248.656864897835,Inclusion
235,162,2.604685961335312,31.04347642564023,272626.7615116662,2925.163961075016,Scratches
236,172,57.35019845838489,5.5406984873103715,184300.54084577347,3008.5725340093645,Crazing
237,214,2.5977102406453607,32.56190977641118,587978.2327127206,4101.396289315253,Rolled
238,232,1.4854491771430123,35.80861553705269,269949.5999699,4185.820688374804,Inclusion
239,209,43.4559119599032,6.0299401074083345,212442.72588744812,3698.613313896113,Pitted
240,199,29.17197550086135,6.630024146432701,181683.26698180038,3476.742139571769,Pitted
241,244,7.36821521241493,17.37535576777216,473563.3598545693,4600.18029656359,Scratches
242,197,8.9037044118957,56.97985701605069,234918.69697448603,3514.8349969940564,Patches
243,189,4.452946980427658,26.527950676811887,195047.06469420844,3321.3844619292677,Crazing
244,227,1.1524894656181814,45.5432947094789,111707.02496350762,3806.64480862989,Scratches
245,176,12.62376218005868,25.54461028438273,381388.4766137699,3263.198704255384,Rolled
246,213,37.926649570498135,12.364450510130773,221781.85848396763,3782.620530614216,Inclusion
247,209,39.74851572687387,9.316003277101093,473263.9755778542,3940.1276870689267,Crazing
248,225,6.730406029936015,6.024876141402064,56673.42030259475,3552.836546889039,Crazing
249,195,8.482310123326334,32.9141436674112,416280.76453124837,3640.1034872506934,Patches
250,216,13.420602441308894,47.855947866448936,232774.1743343612,3850.971439344187,Scratches
251,198,1.8198679830296554,49.67235038753839,237199.84578736319,3535.4372221812882,Scratches
252,241,4.050656557264924,53.67628803507705,872562.8353497187,4756.110779847517,Patches
253,196,13.55901712612979,4.025667213496787,94895.11775285695,3240.673063758722,Rolled
254,222,3.6218719499331327,23.896557364908418,182574.18747223302,3880.143369149418,Patches
255,246,15.980675592906959,9.493642474494813,272788.4621606395,4442.126082593413,Patches
256,215,4.667149255935335,33.70270734675651,188653.88602716353,3767.9571928985315,Patches
257,245,3.2955294790622105,13.676301619339508,57028.98169309759,3870.8548746885617,Pitted
258,204,42.63520987726618,5.834778435305897,302647.19822833524,3714.284603823862,Pitted
259,233,22.456849595529597,6.2916845959412635,658448.6605887357,4503.58976365615,Pitted
260,211,10.851271290078683,29.14266298851103,89573.758159467,3471.1163770367675,Inclusion
261,226,26.950661971403736,14.650890745574591,412393.05886371137,4215.727278610833,Pitted
262,239,7.4872126645155825,8.047226814819414,324428.5643740782,4375.502375943871,Pitted
263,211,27.197375474253334,37.53481963908439,130159.59228716031,3584.873565517782,Patches
264,215,3.517318228517877,13.05452721613367,634512.7152834845,4144.187253164575,Crazing
265,189,30.5862229377968,4.409346580585794,33300.852069492015,2839.3983081289666,Rolled
